title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
LONG FLAT BALLS,"Six ""regular"" guys leave their home and life in Fredrikstad in order to go to the World Cup in Germany to cheer on Norway.",2006,97,15662173,3960211,Zwart Arbeid,,2006-03-31,"['Bjørn Fast Nagell', 'Harald Zwart']","['Jan Edgar Fjell', 'Petter Jørgensen', 'Anders Fjell', 'Eirik Tobiassen']","['Comedy', 'Drama', 'Sport']",0,False,False
SEEKING JUSTICE,"After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.",2011,105,19559911,16211172,Endgame Entertainment,R,2011-09-02,['Roger Donaldson'],"['Nicolas Cage', 'January Jones', 'Guy Pearce', 'Harold Perrineau']","['Action', 'Drama', 'Mystery', 'Thriller']",1,False,False
EASY A,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,2010,92,9495212,89048862,Screen Gems,PG-13,2010-09-17,['Will Gluck'],"['Emma Stone', 'Amanda Bynes', 'Penn Badgley', 'Dan Byrd']","['Comedy', 'Drama', 'Romance']",0,False,True
PREDATORS,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,2010,107,47476061,151013170,Twentieth Century Fox,R,2010-07-09,['Nimród Antal'],"['Adrien Brody', 'Laurence Fishburne', 'Topher Grace', 'Alice Braga']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1,False,True
EXTRATERRESTRIAL,"A man awakens in the bedroom of a one-night stand and discovers that he must remain in her building indefinitely, as the authorities deal with last night's UFO invasion. What's more, her weirdo neighbor has a huge unrequited crush on her.",2011,95,2301166,306644,Sayaka Producciones Audiovisuales,Unrated,2012-03-23,['Nacho Vigalondo'],"['Julián Villagrán', 'Michelle Jenner', 'Raúl Cimas', 'Carlos Areces']","['Comedy', 'Drama', 'Sci-Fi']",0,False,False
QUIZ,A famous game show host is being harassed in a restaurant by a strange man who claims to have kidnapped his wife and daughter. A morbid game ensues in which the game show host turns out to be the contestant.,2012,85,2254510,809830,TDMP,,2012-03-22,['Dick Maas'],"['Barry Atsma', 'Hanna Verboom', 'Susan Radder', 'Loek Peters']","['Crime', 'Drama', 'Thriller']",0,False,False
THE PACT,"As a woman struggles to come to grips with her past in the wake of her mother's death and the disappearance of her sister, an unsettling presence emerges in her childhood home.",2012,89,450902,6385228,Preferred Content,R,2012-06-08,['Nicholas McCarthy'],"['Caity Lotz', 'Casper Van Dien', 'Mark Steger', 'Agnes Bruckner']","['Horror', 'Mystery', 'Thriller']",0,False,True
BEASTS OF THE SOUTHERN WILD,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",2012,93,2029059,23793813,Cinereach,PG-13,2013-06-14,['Benh Zeitlin'],"['Quvenzhané Wallis', 'Dwight Henry', 'Levy Easterly', 'Lowell Landes']","['Adventure', 'Drama', 'Fantasy']",0,False,True
BANAT THE JOURNEY,Two Italians looking for work and happiness abroad.,2015,82,1310341,1172,Movimento Film,,2016-04-07,['Adriano Valerio'],"['Edoardo Gabbriellini', 'Elena Radonicich', 'Stefan Velniciuc', 'Piera Degli Esposti']",['Drama'],0,False,False
PLAN DE FUGA,A thief expert with blowtorch is hired by a group of the Russian mob for a bank assault.,2016,105,2695869,1351561,Atresmedia Cine,Unrated,2017-04-28,['Iñaki Dorronsoro'],"['Alain Hernández', 'Javier Gutiérrez', 'Alba Galocha', 'Itziar Atienza']","['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",0,False,False
THE STRONGHOLD,The Stronghold is a Ukrainian adventure/fantasy film based on the same-name book. A present-day schoolboy Vit'ko goes a thousand years into past.,2017,111,2111708,727278,Kinorob,,2017-10-12,['Yuriy Kovalyov'],"['Ivan Denysenko', 'Georgiy Derevyanskiy', 'Danylo Kamenskyi', 'Oleksandr Komarov']","['Adventure', 'Fantasy']",0,False,False
VIKRAM VEDHA,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",2017,147,158378141,577332,Think Music,Unrated,2017-07-21,"['Gayatri', 'Pushkar']","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
BROTHERS NEST,Two brothers' murder plans go somewhat sideways in this Australian dark comedy.,2018,102,15357134,118495,Bison Films,,2019-07-22,['Clayton Jacobson'],"['Shane Jacobson', 'Clayton Jacobson', 'Kim Gyngell', 'Lynette Curran']","['Comedy', 'Thriller']",0,False,False
REDS,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.",1981,195,91110583,114977737,Barclays Mercantile Industrial Finance,PG,1981-12-25,['Warren Beatty'],"['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski']","['Biography', 'Drama', 'History', 'Romance']",0,True,True
VICTORY,"As allied P.O.W.s prepare for a soccer game against the German National Team to be played in Nazi-occupied Paris, the French Resistance and British officers are making plans for the team's escape.",1981,116,28472057,30901913,Lorimar Film Entertainment,PG,1981-07-31,['John Huston'],"['Michael Caine', 'Sylvester Stallone', 'Pelé', 'Bobby Moore']","['Drama', 'Sport', 'War']",1,False,True
GREMLINS,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,1984,106,27400587,382694392,Warner Bros,PG,1984-06-08,['Joe Dante'],"['Zach Galligan', 'Phoebe Cates', 'Hoyt Axton', 'John Louie']","['Comedy', 'Fantasy', 'Horror']",0,False,True
FRIGHT NIGHT,"A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead.",1985,106,21647760,59945623,Columbia Pictures,R,1985-08-02,['Tom Holland'],"['Chris Sarandon', 'William Ragsdale', 'Amanda Bearse', 'Roddy McDowall']","['Fantasy', 'Horror', 'Thriller']",0,False,True
FLIGHT OF THE INTRUDER,"During the air war over Vietnam, a U.S. Navy A-6 Intruder bomber pilot schemes with a hardened veteran to make an unauthorized air strike on Hanoi.",1991,115,66507966,27720011,Paramount Pictures,PG-13,1991-01-18,['John Milius'],"['Danny Glover', 'Willem Dafoe', 'Brad Johnson', 'Rosanna Arquette']","['Action', 'Drama', 'Thriller', 'War']",0,False,False
MEN IN BLACK,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,1997,98,145127663,950409687,Columbia Pictures,PG-13,1997-07-02,['Barry Sonnenfeld'],"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino', ""Vincent D'Onofrio""]","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",0,False,True
STAR KID,"Spencer Griffith's life changes when a meteor falls into a local junkyard, and he finds a Cybersuit, an exoskeleton with AI from another galaxy. When Spencer puts on the Cybersuit he becomes a different kind of person.",1997,101,19350355,11334510,JLT Productions,PG,1998-01-16,['Manny Coto'],"['Joseph Mazzello', 'Joey Simmrin', 'Alex Daniels', 'Arthur Burghardt']","['Adventure', 'Family', 'Sci-Fi']",0,False,False
EDGE OF SEVENTEEN,A teenager copes with his sexuality on the last day of school in 1984. It shows him coping with being gay and being with friends.,1998,99,1111458,1384176,Blue Streak Films,Unrated,2000-04-20,['David Moreton'],"['Chris Stafford', 'Tina Holmes', 'Andersen Gabrych', 'Stephanie McVay']","['Comedy', 'Drama', 'Romance']",0,False,True
WONDER BOYS,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",2000,107,82663211,50239074,Mutual Film Company,R,2000-02-25,['Curtis Hanson'],"['Michael Douglas', 'Tobey Maguire', 'Frances McDormand', 'Robert Downey Jr.']","['Comedy', 'Drama']",1,False,False
AMERICAN OUTLAWS,5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,2001,94,51148418,19990136,Morgan Creek Entertainment,PG-13,2001-08-17,['Les Mayfield'],"['Colin Farrell', 'Scott Caan', 'Ali Larter', 'Gabriel Macht']","['Action', 'Western']",0,False,False
CHANGING LANES,"The story of what happens one day in New York City, when a young lawyer and a businessman share a small automobile accident on F.D.R. Drive, and their mutual road rage escalates into a feud.",2002,98,64738715,136578210,Paramount Pictures,R,2002-04-12,['Roger Michell'],"['Ben Affleck', 'Samuel L. Jackson', 'Kim Staunton', 'Toni Collette']","['Drama', 'Thriller']",0,False,True
KISSING JESSICA STEIN,A woman searching for the perfect man instead discovers the perfect woman.,2001,97,1461383,14633451,Fox Searchlight Pictures,R,2002-04-05,['Charles Herman-Wurmfeld'],"['Jennifer Westfeldt', 'Heather Juergensen', 'Tovah Feldshuh', 'Esther Wurmfeld']","['Comedy', 'Drama', 'Romance']",0,False,True
WRONG TURN,"Chris and a group of five friends are left stranded deep in the middle of the woods after their cars collide. As they venture deeper into the woods, they face an uncertain and bloodcurdling fate.",2003,84,17722927,40299369,Summit Entertainment,R,2003-05-30,['Rob Schmidt'],"['Eliza Dushku', 'Jeremy Sisto', 'Emmanuelle Chriqui', 'Desmond Harrington']","['Horror', 'Thriller']",0,False,True
FLUSHED AWAY,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",2006,85,191283923,228875135,Aardman Animations,PG,2006-11-03,"['David Bowers', 'Sam Fell']","['Hugh Jackman', 'Kate Winslet', 'Ian McKellen', 'Jean Reno']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",0,False,True
ONE NIGHT WITH THE KING,"In Biblical times, a girl disguises her Jewish origins when the Persian king comes looking for a new bride among his subjects.",2006,123,25675694,17624374,Gener8Xion Entertainment,PG,2006-10-13,['Michael O. Sajbel'],"['Tiffany Dupont', 'Luke Goss', 'John Noble', 'Omar Sharif']","['Biography', 'Drama', 'History']",0,False,False
THE MAGIC FLUTE,"During World War I, in an unnamed country, a soldier named Tamino is sent by the Queen of the Night to rescue her daughter Pamina from the clutches of the supposedly evil Sarastro. But all is not as it seems.",2006,135,34662187,2523552,Idale Audience,,2006-12-13,['Kenneth Branagh'],"['Joseph Kaiser', 'Amy Carson', 'Ben Davis', 'Silvia Moi']","['Drama', 'Musical', 'Romance']",0,False,False
TAKEN,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",2008,90,30051950,272676681,EuropaCorp,PG-13,2009-01-30,['Pierre Morel'],"['Liam Neeson', 'Maggie Grace', 'Famke Janssen', 'Leland Orser']","['Action', 'Crime', 'Thriller']",0,False,True
TRAITOR,"When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer, Samir Horn.",2008,114,26445716,33267525,Overture Films,PG-13,2008-08-27,['Jeffrey Nachmanoff'],"['Don Cheadle', 'Guy Pearce', 'Archie Panjabi', 'Saïd Taghmaoui']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,True
HOLMES  WATSON,A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.,2018,90,43288566,41708502,Columbia Pictures,PG-13,2018-12-25,['Etan Cohen'],"['Will Ferrell', 'John C. Reilly', 'Ralph Fiennes', 'Rebecca Hall']","['Comedy', 'Crime', 'Mystery']",0,True,False
THE DEVILS DOUBLE,A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.,2011,109,21976136,6590784,Corsan,R,2011-09-08,['Lee Tamahori'],"['Dominic Cooper', 'Ludivine Sagnier', 'Raad Rawi', 'Philip Quast']","['Biography', 'Drama', 'Thriller']",0,False,False
THE GREAT GATSBY,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",2013,143,116653094,392890149,Warner Bros,PG-13,2013-05-10,['Baz Luhrmann'],"['Leonardo DiCaprio', 'Carey Mulligan', 'Joel Edgerton', 'Tobey Maguire']","['Drama', 'Romance']",0,False,True
BRIDESMAIDS,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",2011,125,37393949,331809192,Universal Pictures,R,2011-05-13,['Paul Feig'],"['Kristen Wiig', 'Maya Rudolph', 'Rose Byrne', 'Terry Crews']","['Comedy', 'Romance']",0,False,True
CLEANSKIN,A British secret service agent is faced with the task of pursuing and eliminating a British-born suicide bomber and his terrorist cell.,2012,108,2254510,89801,The UK Film Studio,Unrated,2012-09-11,['Hadi Hajaig'],"['Sean Bean', 'Charlotte Rampling', 'Abhin Galeya', 'Tom Burke']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
ALBERT NOBBS,"Albert Nobbs struggles to survive in late 19th-century Ireland, where women aren't encouraged to be independent. Posing as a man so she can work as a butler in Dublin's most elegant hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",2011,113,9204664,8666489,Mockingbird Pictures,R,2012-02-22,['Rodrigo García'],"['Glenn Close', 'Mia Wasikowska', 'Aaron Taylor-Johnson', 'Antonia Campbell-Hughes']","['Drama', 'Romance']",0,False,False
PERSECUTED,An evangelist finds himself framed for murder and on the run after he refuses to back a senator's proposition calling for sweeping religious reform.,2014,91,1639870,1704193,Indieproduction,PG-13,2014-07-18,['Daniel Lusko'],"['Dean Stockwell', 'James Remar', 'Bruce Davison', 'Raoul Max Trujillo']","['Action', 'Drama', 'Mystery', 'Thriller']",0,False,True
THE AMAZING SPIDERMAN 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",2014,142,218649466,775093031,Marvel Enterprises,PG-13,2014-05-02,['Marc Webb'],"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Paul Giamatti']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",1,False,True
MOANA,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,107,161752157,695493880,Hurwitz Creative,PG,2016-11-23,"['Ron Clements', 'John Musker', 'Don Hall', 'Chris Williams']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",0,False,True
VNH CU,The story of the women and relationships that define a family across a century.,2016,115,12102686,907102,NordOuest Films,,2016-09-09,['Anh Hung Tran'],"['Audrey Tautou', 'Bérénice Bejo', 'Mélanie Laurent', 'Jérémie Renier']",['Drama'],0,False,False
PARIS CAN WAIT,The wife of a successful movie producer takes a car trip from the south of France to Paris with one of her husband's associates.,2016,92,5391738,14238008,Lifetime Films,PG,2017-07-07,['Eleanor Coppola'],"['Diane Lane', 'Arnaud Viard', 'Alec Baldwin', 'Elise Tielrooy']","['Comedy', 'Drama', 'Romance']",0,False,True
BRAVEN,A logger defends his family from a group of dangerous drug runners.,2018,94,5153400,880529,Highland Film Group HFG,R,2018-02-02,['Lin Oeding'],"['Jason Momoa', 'Garret Dillahunt', 'Jill Wagner', 'Stephen Lang']","['Action', 'Thriller']",0,False,False
JOURNEY TO THE WEST THE DEMONS STRIKE BACK,A monk and his three disciples continue on their journey to battle demons.,2017,109,66835575,261413938,Film Workshop,PG-13,2017-02-03,['Hark Tsui'],"['Kris Wu', 'Kenny Lin', 'Chen Yao', 'Yun Lin']","['Adventure', 'Comedy', 'Family', 'Fantasy']",0,False,True
THE CANDIDATE,A Spanish politician whose high-class lifestyle is based on nefarious and illegal business threatens to break his entire party after a newspaper expose him to the public eye.,2018,132,4122720,4335144,Tornasol Films,,2018-09-28,['Rodrigo Sorogoyen'],"['Antonio de la Torre', 'Mónica López', 'Josep Maria Pou', 'Bárbara Lennie']","['Drama', 'Mystery', 'Thriller']",0,False,True
